,Argument ID,Conclusion,Stance,Premise,text,category,Self-direction: thought,Self-direction: action,Stimulation,Hedonism,Achievement,Power: dominance,Power: resources,Face,Security: personal,Security: societal,Tradition,Conformity: rules,Conformity: interpersonal,Humility,Benevolence: caring,Benevolence: dependability,Universalism: concern,Universalism: nature,Universalism: tolerance,Universalism: objectivity
2287,A22450,We should ban fast food,against,we should not ban fast food because they are part of the economy,we should not ban fast food because they are part of the economy against We should ban fast food,"['Security: personal', 'Security: societal', 'Tradition', 'Universalism: concern', 'Universalism: objectivity']",0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1
4818,E01054,The best way to save the world from climate change and protect the environment is to encourage everyone to start with themselves and look at what things they can do to help with this problem,against,"It is not about blaming others. It is about seeing the situation as it is. Recognizing patterns, reasons, and consequences of our behavior. We do not make our choices in a vacuum. If it is easier and cheaper to live not sustainably, people will do it, even if they are conscious of the consequences. ","It is not about blaming others. It is about seeing the situation as it is. Recognizing patterns, reasons, and consequences of our behavior. We do not make our choices in a vacuum. If it is easier and cheaper to live not sustainably, people will do it, even if they are conscious of the consequences.  against The best way to save the world from climate change and protect the environment is to encourage everyone to start with themselves and look at what things they can do to help with this problem","['Self-direction: action', 'Power: resources', 'Humility', 'Universalism: objectivity']",0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
1926,A21402,We should legalize organ trade,in favor of,"Organ sales can raise many people out of poverty, providing them with more opportunities.","Organ sales can raise many people out of poverty, providing them with more opportunities. in favor of We should legalize organ trade","['Achievement', 'Power: resources', 'Security: personal']",0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
3964,A28445,We should legalize cannabis,against,Cannabis use is too often a gateway  to other harder drugs such as cocaine and heroin so should remain illegal.,Cannabis use is too often a gateway  to other harder drugs such as cocaine and heroin so should remain illegal. against We should legalize cannabis,"['Security: societal', 'Conformity: rules']",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
4625,D01097,We should subsidize higher education institutions,in favor of,"We haven’t been paying our teachers on the scale of what their counterparts earn in other countries. As a result, people are reluctant to the idea of teaching as a career. We have also failed to lure successful foreign faculties to our institutes.","We haven’t been paying our teachers on the scale of what their counterparts earn in other countries. As a result, people are reluctant to the idea of teaching as a career. We have also failed to lure successful foreign faculties to our institutes. in favor of We should subsidize higher education institutions","['Achievement', 'Face', 'Security: personal', 'Universalism: concern']",0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
2654,A24012,We should ban missionary work,in favor of,"We should ban missionary work because it convinces people to abandon their culture and adopt a dominant, colonial culture instead, which damages our shared cultural heritage.","We should ban missionary work because it convinces people to abandon their culture and adopt a dominant, colonial culture instead, which damages our shared cultural heritage. in favor of We should ban missionary work","['Self-direction: thought', 'Self-direction: action', 'Universalism: concern', 'Universalism: tolerance', 'Universalism: objectivity']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
5990,A22173,Entrapment should be legalized,against,Entrapment should not be legalized because police will focus on easy convictions rather than finding other criminals.,Entrapment should not be legalized because police will focus on easy convictions rather than finding other criminals. against Entrapment should be legalized,"['Security: societal', 'Conformity: rules', 'Benevolence: caring', 'Universalism: concern', 'Universalism: objectivity']",0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1
6527,A27478,Blockade of the Gaza Strip should be ended,against,"the existence of a truce, which has held since 2014, maintains some form of peace in the area. the gaza strip should be maintained for this reason.","the existence of a truce, which has held since 2014, maintains some form of peace in the area. the gaza strip should be maintained for this reason. against Blockade of the Gaza Strip should be ended","['Achievement', 'Security: societal', 'Tradition', 'Universalism: concern']",0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
1894,A21357,We should adopt a multi-party system,in favor of,could open up congress and create new opportunities for bargaining and coalition building on unusual lines.,could open up congress and create new opportunities for bargaining and coalition building on unusual lines. in favor of We should adopt a multi-party system,"['Achievement', 'Power: dominance', 'Security: societal', 'Universalism: tolerance']",0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
6908,D27020,MBAs do not make good business leaders,in favor of,"Learning everything by practice consumes time. Through MBA, we can learn management skills and skills to tackle real-life problems in businesses.","Learning everything by practice consumes time. Through MBA, we can learn management skills and skills to tackle real-life problems in businesses. in favor of MBAs do not make good business leaders",['Achievement'],0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6495,A27344,Assisted suicide should be a criminal offence,in favor of,Helping someone to die should be a criminal offence because otherwise unscruplous people could get away with murder by having coercive control over someone and encouraging them to want to take their own life.,Helping someone to die should be a criminal offence because otherwise unscruplous people could get away with murder by having coercive control over someone and encouraging them to want to take their own life. in favor of Assisted suicide should be a criminal offence,"['Security: societal', 'Benevolence: caring', 'Benevolence: dependability', 'Universalism: concern']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0
1022,A19018,We should adopt libertarianism,in favor of,libertarianism disavows government control and allows people to have liberties that have been stifled by the governing body.,libertarianism disavows government control and allows people to have liberties that have been stifled by the governing body. in favor of We should adopt libertarianism,"['Self-direction: thought', 'Self-direction: action', 'Security: personal', 'Security: societal']",1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
4538,A30346,We should subsidize embryonic stem cell research,in favor of,embryonic stem cell research has the potential to help cure some of the most devastating diseases,embryonic stem cell research has the potential to help cure some of the most devastating diseases in favor of We should subsidize embryonic stem cell research,"['Achievement', 'Security: personal', 'Universalism: objectivity']",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1297,A19446,We should abolish the Olympic Games,against,We should not abolish the Olympic Games as they are viewed as the pinnacle of success for many athletes around the world.,We should not abolish the Olympic Games as they are viewed as the pinnacle of success for many athletes around the world. against We should abolish the Olympic Games,"['Stimulation', 'Achievement', 'Tradition']",0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5543,A18106,Assisted suicide should be a criminal offence,against,assisted suicide should not be a criminal offense as everyone should have the right to end their life peacefully once they are to a point of not being able to get better.,assisted suicide should not be a criminal offense as everyone should have the right to end their life peacefully once they are to a point of not being able to get better. against Assisted suicide should be a criminal offence,"['Self-direction: action', 'Power: dominance', 'Conformity: interpersonal', 'Universalism: concern', 'Universalism: objectivity']",0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
6052,A22454,We should abandon television,in favor of,there is a lot of violence and sex on television that is not appropriate for children,there is a lot of violence and sex on television that is not appropriate for children in favor of We should abandon television,"['Tradition', 'Conformity: rules', 'Benevolence: caring']",0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
865,A18278,We should cancel pride parades,in favor of,pride parades have now grown to the point where they are increasingly difficult to police and the scale of the events now need to be looked at to ensure the safety of all participants.,pride parades have now grown to the point where they are increasingly difficult to police and the scale of the events now need to be looked at to ensure the safety of all participants. in favor of We should cancel pride parades,"['Security: personal', 'Security: societal']",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2251,A22398,We should end mandatory retirement,in favor of,Mandatory retirement should not be allowed because many people can't live off of their pensions and need to keep working.,Mandatory retirement should not be allowed because many people can't live off of their pensions and need to keep working. in favor of We should end mandatory retirement,"['Self-direction: action', 'Achievement', 'Power: resources', 'Security: personal', 'Security: societal']",0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2577,A23398,We should ban telemarketing,in favor of,"telemarketing is an irritant, a waste of time,  and gives too many people spam calls which isn't helpful when the person is waiting for  a phone call from a potential employer, etc.","telemarketing is an irritant, a waste of time,  and gives too many people spam calls which isn't helpful when the person is waiting for  a phone call from a potential employer, etc. in favor of We should ban telemarketing","['Security: personal', 'Conformity: interpersonal', 'Benevolence: caring', 'Benevolence: dependability']",0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0
5502,A12463,We should abandon television,against,television is a healthy means of escape from every day stress for millions of people.,television is a healthy means of escape from every day stress for millions of people. against We should abandon television,"['Hedonism', 'Security: personal']",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3945,A28415,We should ban cosmetic surgery for minors,against,minors should be allowed to have procedures with parental permission,minors should be allowed to have procedures with parental permission against We should ban cosmetic surgery for minors,"['Self-direction: action', 'Power: dominance', 'Benevolence: dependability']",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5753,A20065,Entrapment should be legalized,in favor of,entrapment allows for the easy arrest of criminals,entrapment allows for the easy arrest of criminals in favor of Entrapment should be legalized,"['Achievement', 'Conformity: rules', 'Universalism: concern']",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
318,A12023,We should limit judicial activism,against,judicial activism allows for a check on decrees made by one branch of the government that may think that drastic action is needed for every situation.,judicial activism allows for a check on decrees made by one branch of the government that may think that drastic action is needed for every situation. against We should limit judicial activism,"['Security: societal', 'Universalism: concern']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4920,E03052,Serious crimes should lead to rapid expulsion from the EU,in favor of,"Not only for committing, but also planning. Especially if an immigrant gets caught planning a terrorist act, he/she must be removed from EU permanently.","Not only for committing, but also planning. Especially if an immigrant gets caught planning a terrorist act, he/she must be removed from EU permanently. in favor of Serious crimes should lead to rapid expulsion from the EU","['Security: societal', 'Conformity: rules']",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
3114,A25222,We should ban factory farming,in favor of,"this is a horrible way to treat animals. they should not be caged in tiny areas, unable to move. this is cruel.","this is a horrible way to treat animals. they should not be caged in tiny areas, unable to move. this is cruel. in favor of We should ban factory farming","['Conformity: rules', 'Universalism: concern', 'Universalism: nature']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
6029,A22359,Surrogacy should be banned,against,surrogacy should not be banned because it allows couples who are infertile and homosexual males to become parents,surrogacy should not be banned because it allows couples who are infertile and homosexual males to become parents against Surrogacy should be banned,"['Self-direction: action', 'Benevolence: caring', 'Universalism: concern']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
1928,A21406,We should adopt libertarianism,against,We should not adopt libertarianism because the business cycle would destroy the country's economy without regulation.,We should not adopt libertarianism because the business cycle would destroy the country's economy without regulation. against We should adopt libertarianism,"['Power: dominance', 'Security: personal', 'Security: societal', 'Benevolence: dependability']",0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
5035,E05020,Food health and industry companies should be located within the EU,in favor of,"It will bring the EU more jobs, less unemployment, and more added value.","It will bring the EU more jobs, less unemployment, and more added value. in favor of Food health and industry companies should be located within the EU","['Achievement', 'Power: resources', 'Security: personal']",0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
576,A12416,We should ban cosmetic surgery for minors,in favor of,minors should not be allowed to have an elective cosmetic surgery.  their bodies are still growing and changing and should be allowed to mature before going under the knife.,minors should not be allowed to have an elective cosmetic surgery.  their bodies are still growing and changing and should be allowed to mature before going under the knife. in favor of We should ban cosmetic surgery for minors,"['Security: personal', 'Humility', 'Universalism: nature']",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
1352,A20020,We should limit judicial activism,against,judicial activism is a control key put in place for counterbalance the overuse of power of law,judicial activism is a control key put in place for counterbalance the overuse of power of law against We should limit judicial activism,"['Self-direction: thought', 'Security: societal', 'Universalism: concern']",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
3058,A25128,We should legalize prostitution,against,We should not legalize prostitution as it will only lead to more people trafficking and underage people being lured into this kind of work as people seek to make more money .,We should not legalize prostitution as it will only lead to more people trafficking and underage people being lured into this kind of work as people seek to make more money . against We should legalize prostitution,"['Security: societal', 'Conformity: rules', 'Universalism: concern']",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
2252,A22399,We should ban targeted killing,in favor of,targeting killing is barbaric and exists outside the bounds of government.,targeting killing is barbaric and exists outside the bounds of government. in favor of We should ban targeted killing,"['Humility', 'Universalism: concern']",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
91,A05052,We should end the use of economic sanctions,against,economic sanctions can assist in deterring deadly threats against our nation,economic sanctions can assist in deterring deadly threats against our nation against We should end the use of economic sanctions,"['Security: societal', 'Universalism: concern']",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5975,A22087,The use of public defenders should be mandatory,against,"if someone has the means to afford the best representation they can, they should be allowed to do so in the interests of them getting the best defence.","if someone has the means to afford the best representation they can, they should be allowed to do so in the interests of them getting the best defence. against The use of public defenders should be mandatory","['Self-direction: action', 'Achievement', 'Power: dominance', 'Power: resources', 'Universalism: concern']",0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2705,A24087,We should ban factory farming,in favor of,"factory farming provides negative outcomes across several areas, the most important of which is personal livelihood, so it should be banned.","factory farming provides negative outcomes across several areas, the most important of which is personal livelihood, so it should be banned. in favor of We should ban factory farming",['Security: personal'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3407,A27071,We should fight for the abolition of nuclear weapons,in favor of,"The cost of developing nuclear weapons in developing states drains cash from infrastructure, education, and welfare funds which hurts the population as a whole.","The cost of developing nuclear weapons in developing states drains cash from infrastructure, education, and welfare funds which hurts the population as a whole. in favor of We should fight for the abolition of nuclear weapons","['Power: resources', 'Security: personal', 'Security: societal']",0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
5922,A21310,Entrapment should be legalized,against,it offers someone who hasn't decided to commit a crime an opportunity to commit one,it offers someone who hasn't decided to commit a crime an opportunity to commit one against Entrapment should be legalized,"['Achievement', 'Security: societal', 'Universalism: concern']",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1876,A21333,We should legalize sex selection,against,"sex selection could lead to genetic abnormalities and start society on a slippery slope of genetic editing at a time when it is an imperfect, untested procedure that could lead to horrific outcomes.","sex selection could lead to genetic abnormalities and start society on a slippery slope of genetic editing at a time when it is an imperfect, untested procedure that could lead to horrific outcomes. against We should legalize sex selection","['Security: personal', 'Humility', 'Benevolence: caring']",0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
5921,A21309,The vow of celibacy should be abandoned,in favor of,someone can dedicate their life to god and their religion and still have a partner and have sex. there is no general benefit in being celibate.,someone can dedicate their life to god and their religion and still have a partner and have sex. there is no general benefit in being celibate. in favor of The vow of celibacy should be abandoned,"['Self-direction: thought', 'Self-direction: action', 'Hedonism', 'Universalism: objectivity']",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4888,E02057,"We need a common migration and asylum policy, based on respect for rights and equal treatment",against,"I disagree, each country must be sovereign to establish its migration policy and no EU quotas should be accepted.","I disagree, each country must be sovereign to establish its migration policy and no EU quotas should be accepted. against We need a common migration and asylum policy, based on respect for rights and equal treatment","['Self-direction: action', 'Power: dominance', 'Security: societal', 'Universalism: concern']",0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
6825,A30328,Payday loans should be banned,against,customers have access to a financial option designed to cover small expenses that arise often and are unexpected should not be eliminated,customers have access to a financial option designed to cover small expenses that arise often and are unexpected should not be eliminated against Payday loans should be banned,"['Self-direction: action', 'Security: personal']",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4316,A30024,We should introduce compulsory voting,in favor of,everyone should take part in voting and making choices for our country.,everyone should take part in voting and making choices for our country. in favor of We should introduce compulsory voting,"['Power: dominance', 'Security: societal', 'Benevolence: caring', 'Universalism: concern', 'Universalism: objectivity']",0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1
1535,A20312,We should subsidize Wikipedia,in favor of,wikipedia is an amazing resource that just about everyone uses.  if it were to disappear many people would lose out.  subsidizing it would be beneficial to all.,wikipedia is an amazing resource that just about everyone uses.  if it were to disappear many people would lose out.  subsidizing it would be beneficial to all. in favor of We should subsidize Wikipedia,"['Achievement', 'Power: dominance', 'Benevolence: caring', 'Universalism: concern']",0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
5911,A21258,Entrapment should be legalized,in favor of,Entrapment causes more criminals to be caught and taken off the streets.,Entrapment causes more criminals to be caught and taken off the streets. in favor of Entrapment should be legalized,"['Security: societal', 'Conformity: rules', 'Universalism: concern']",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
2588,A23416,We should adopt libertarianism,against,libertarianism runs roughshod over every collective and communal human right and entitlement.  privileged individuals prosper whilst the rest of society suffers. it should most definitely not be adopted,libertarianism runs roughshod over every collective and communal human right and entitlement.  privileged individuals prosper whilst the rest of society suffers. it should most definitely not be adopted against We should adopt libertarianism,"['Achievement', 'Security: personal', 'Security: societal', 'Universalism: concern']",0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
4450,A30227,We should adopt an austerity regime,in favor of,"all services have to be paid for, and until the defecit has been reduced, too much money is being wasted on interst payments. once debts have been reduced, that money will be availbale for services.","all services have to be paid for, and until the defecit has been reduced, too much money is being wasted on interst payments. once debts have been reduced, that money will be availbale for services. in favor of We should adopt an austerity regime","['Security: personal', 'Conformity: rules', 'Benevolence: dependability']",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
3968,A28450,We should legalize cannabis,in favor of,cannabis is not addictive and has been shown to help with some illnesses and appears to be contributing to a decline in opioid abuse in areas where it is legal.,cannabis is not addictive and has been shown to help with some illnesses and appears to be contributing to a decline in opioid abuse in areas where it is legal. in favor of We should legalize cannabis,"['Security: personal', 'Universalism: objectivity']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
106,A05075,We should adopt an austerity regime,against,people should not have to endure higher taxes to pay for the government's inefficiency.,people should not have to endure higher taxes to pay for the government's inefficiency. against We should adopt an austerity regime,"['Security: personal', 'Benevolence: dependability', 'Universalism: concern']",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
5602,A18319,We should subsidize vocational education,in favor of,"we subsidize colleges for doctors and lawyers etc so we should also subsidize education for other occupations as well such as mechanics, hair dressers, construction workers and so on.","we subsidize colleges for doctors and lawyers etc so we should also subsidize education for other occupations as well such as mechanics, hair dressers, construction workers and so on. in favor of We should subsidize vocational education","['Achievement', 'Benevolence: caring', 'Universalism: concern']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2748,A24152,We should oppose collectivism,against,collectivism is necessary for people to help one another and endure.,collectivism is necessary for people to help one another and endure. against We should oppose collectivism,['Benevolence: caring'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1934,A21414,We should subsidize space exploration,in favor of,"we need to find a new planet with resources before we use ours up, putting more into space exploration would help accomplish this.","we need to find a new planet with resources before we use ours up, putting more into space exploration would help accomplish this. in favor of We should subsidize space exploration","['Self-direction: thought', 'Achievement', 'Power: resources', 'Benevolence: caring', 'Universalism: concern']",1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
4782,D27066,Rapists should be tortured,in favor of,"Criminal will feel the pain of the victim, if he is subjected to the same kind of harassment. Thereby, he may not commit the crime again in his life.","Criminal will feel the pain of the victim, if he is subjected to the same kind of harassment. Thereby, he may not commit the crime again in his life. in favor of Rapists should be tortured","['Security: societal', 'Conformity: rules', 'Universalism: concern']",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
3574,A27330,We should introduce compulsory voting,against,people who have no clue about the issues and people who are not into politics would be voting for someone they know nothing about.,people who have no clue about the issues and people who are not into politics would be voting for someone they know nothing about. against We should introduce compulsory voting,"['Achievement', 'Benevolence: dependability', 'Universalism: objectivity']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
4409,A30171,We should introduce compulsory voting,against,people should not be forced to vote any more than they should be forced to have insurance or be fined for the lack of.,people should not be forced to vote any more than they should be forced to have insurance or be fined for the lack of. against We should introduce compulsory voting,"['Self-direction: thought', 'Self-direction: action']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
866,A18279,We should ban private military companies,in favor of,we should ban this because they cant be controlled and could turn against the government or people. they also might cause more problems then help solve them.,we should ban this because they cant be controlled and could turn against the government or people. they also might cause more problems then help solve them. in favor of We should ban private military companies,"['Security: personal', 'Security: societal', 'Conformity: rules']",0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
2691,A24066,We should end the use of economic sanctions,against,by imposing economic sanctions against a country you will force them to change the way they are doing things because it creates a hardship for the citizens who will in turn rebel against the government,by imposing economic sanctions against a country you will force them to change the way they are doing things because it creates a hardship for the citizens who will in turn rebel against the government against We should end the use of economic sanctions,"['Power: dominance', 'Security: societal', 'Universalism: objectivity']",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
4035,A29041,We should ban fast food,in favor of,"fast food is unhealthy, cheap and easy to find and it needs to be banned","fast food is unhealthy, cheap and easy to find and it needs to be banned in favor of We should ban fast food",['Security: personal'],0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
503,A12305,We should abolish the Olympic Games,against,the olympic games allow for true amateur athletes to live out their dreams.,the olympic games allow for true amateur athletes to live out their dreams. against We should abolish the Olympic Games,"['Self-direction: action', 'Stimulation', 'Hedonism', 'Achievement', 'Universalism: concern']",0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6661,A29095,Holocaust denial should be a criminal offence,against,it should not a criminal offence as it is just an opinion rather than actually committing a crime.,it should not a criminal offence as it is just an opinion rather than actually committing a crime. against Holocaust denial should be a criminal offence,"['Self-direction: thought', 'Universalism: objectivity']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2966,A24487,We should prohibit school prayer,against,we should not prohibit school prayer as long as the type of prayer is not religion specific.,we should not prohibit school prayer as long as the type of prayer is not religion specific. against We should prohibit school prayer,"['Self-direction: thought', 'Self-direction: action', 'Benevolence: caring', 'Universalism: concern', 'Universalism: tolerance']",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
3274,A25457,We should subsidize Wikipedia,in favor of,wikipedia is a valuable educational source and is free at source so should be promoted through subsidization,wikipedia is a valuable educational source and is free at source so should be promoted through subsidization in favor of We should subsidize Wikipedia,"['Self-direction: thought', 'Achievement', 'Benevolence: caring', 'Universalism: objectivity']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
4740,D27016,News channels are breaking rules to give Breaking news,in favor of,"If anyone accuses any celebrity, the news will be breaking news for days on news channels. This is an infringement of personal rights. News channels are ignoring the basic thing that the allegations are not proved yet.","If anyone accuses any celebrity, the news will be breaking news for days on news channels. This is an infringement of personal rights. News channels are ignoring the basic thing that the allegations are not proved yet. in favor of News channels are breaking rules to give Breaking news","['Self-direction: action', 'Face', 'Conformity: rules', 'Benevolence: dependability']",0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
3821,A28222,We should ban fast food,against,fast food is a treat that can be enjoyed when eaten sensibly and brings joy and social interaction.,fast food is a treat that can be enjoyed when eaten sensibly and brings joy and social interaction. against We should ban fast food,"['Hedonism', 'Face', 'Security: personal']",0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
